clave,texto_español
"privacy.sections[3].list[2]","Cumplimiento de obligaciones legales a las que está sujeto el Responsable;"
"privacy.sections[3].list[3]","Salvaguardia de los intereses vitales del interesado o de otra persona física;"
"privacy.sections[3].list[4]","Ejecución de una misión de interés público o asociada al ejercicio de poderes públicos;"
"privacy.sections[3].list[5]","Persecución del interés legítimo del Responsable o de terceros."
"privacy.sections[4].id","methods"
"privacy.sections[4].heading","Modalidades del tratamiento"
"privacy.sections[4].content[0]","El tratamiento puede realizarse con o sin el uso de herramientas manuales, informáticas y telemáticas."
"privacy.sections[4].content[1]","Se adoptan medidas adecuadas para garantizar la seguridad y confidencialidad de los datos, conforme a los requisitos legales."
"privacy.sections[4].content[2]","Durante el tratamiento no se aplicará ningún proceso de toma de decisiones automatizado."
"privacy.sections[5].id","data-provision"
"privacy.sections[5].heading","Provisión de los datos personales"
"privacy.sections[5].content[0]","La provisión de datos personales es estrictamente necesaria para las finalidades indicadas."
"privacy.sections[5].content[1]","La negativa total o parcial a proporcionar los datos puede impedir la ejecución del servicio de envío."
"privacy.sections[6].id","data-communication"
"privacy.sections[6].heading","Comunicación de los datos personales"
"privacy.sections[6].content[0]","Para la consecución de las finalidades indicadas, los datos personales podrán ser comunicados a:"
"privacy.sections[6].list[0]","Personal autorizado conforme al art. 29 del GDPR y art. 2-quaterdecies del Código de Privacidad;"
"privacy.sections[6].list[1]","Empresas terceras designadas como Encargados del tratamiento conforme al art. 28 del GDPR."
"privacy.sections[6].content_after_list[0]","El interesado puede solicitar información adicional escribiendo al DPO a los contactos indicados."
"privacy.sections[7].id","transfer"
"privacy.sections[7].heading","Transferencia de datos al extranjero"
"privacy.sections[7].content[0]","Los datos personales podrán ser transferidos a países de la UE, extra-UE u organizaciones internacionales dependiendo del servicio solicitado."
"privacy.sections[7].content[1]","En caso de transferencia a países extra-UE, el interesado otorga autorización expresa como excepción a los arts. 45 y ss. GDPR, en función de las exigencias y localización territorial relacionada con la ejecución del encargo."
"privacy.sections[8].id","rights"
"privacy.sections[8].heading","Derechos del interesado"
"privacy.sections[8].content[0]","El interesado tiene derecho a ejercer en cualquier momento los derechos previstos por los arts. 15–22 del GDPR, entre ellos:"
"privacy.sections[8].list[0]","Acceso a los datos personales y a la información sobre finalidades, categorías de datos, destinatarios y periodo de conservación;"
"privacy.sections[8].list[1]","Rectificación de datos inexactos o integración de datos incompletos;"
"privacy.sections[8].list[2]","Supresión de los datos en los casos previstos por el GDPR;"
"privacy.sections[8].list[3]","Limitación del tratamiento;"
"privacy.sections[8].list[4]","Portabilidad de los datos a otro Responsable;"
"privacy.sections[8].list[5]","Revocación del consentimiento sin perjuicio de la licitud del tratamiento previo;"
"privacy.sections[8].list[6]","Oposición al tratamiento conforme al art. 21 GDPR;"
"privacy.sections[8].list[7]","Derecho a presentar una reclamación ante la Autoridad de Protección de Datos (www.garanteprivacy.it)."
"privacy.sections[9].id","how-to-exercise"
"privacy.sections[9].heading","Modalidades para ejercer los derechos"
"privacy.sections[9].content[0]","El interesado puede ejercer sus derechos escribiendo al Responsable o al DPO a los contactos indicados en la presente política."
"privacy.sections[9].content[1]","Email del Responsable: bongiornosrl@bongiornosrl.com"
"privacy.sections[9].content[2]","PEC: bongiornosrl@legalmail.it"
"privacy.sections[9].content[3]","Email del DPO: luca.confalonieri@bongiornosrl.com"
"cookies.title","Utilizamos cookies 🍪"
"cookies.text","Utilizamos cookies técnicas y, previo consentimiento, analíticas para mejorar su experiencia."
"cookies.privacyLink","Política de privacidad"
"cookies.accept","Aceptar todo"
"cookies.decline","Rechazar"
"cookies.customize","Personalice"
"cookies.customizeTitle","Preferencias de cookies"
"cookies.customizeText","Elija las categorías de cookies que desea autorizar."
"cookies.cancel","Cancelar"
"cookies.save","Guardar preferencias"
"cookies.categories.essential.title","Esenciales"
"cookies.categories.essential.desc","Cookies necesarias para el funcionamiento del sitio."
"cookies.categories.analytics.title","Analítica"
"cookies.categories.analytics.desc","Cookies que nos ayudan a comprender el uso del sitio (Google Analytics)."
"cookies.categories.marketing.title","Marketing"
"cookies.categories.marketing.desc","Cookies utilizadas para campañas publicitarias y remarketing."
"common.index","Índice"
"common.company","Bongiorno SRL"
"common.preventivo","Solicitar cotización"
"common.back_news","Volver a las noticias"
"common.fallback_notice","Este artículo aún no está disponible en este idioma. Se muestra la versión italiana."
"destinations.marocco.title","Transporte Marruecos"
"destinations.marocco.claim","Nuestra dedicación a Marruecos está consolidada desde hace décadas. Hemos seleccionado y fortalecido en el tiempo una colaboración con una realidad local que viajaba en nuestra misma onda. Para lograr el objetivo común de dar a los clientes cada vez más motivos para elegir nuestro servicio."
"destinations.marocco.intro","Ofrecemos transporte desde España, Francia e Italia a los principales puertos de Marruecos."
"destinations.marocco.image","/img/dest-marocco.webp"
"destinations.marocco.mapCoords[0]","-6.8326"
"destinations.marocco.mapCoords[1]","31.7917"
"destinations.marocco.mapMarkers[0].name","Casablanca"
"destinations.marocco.mapMarkers[0].coords[0]","-7.5898"
"destinations.marocco.mapMarkers[0].coords[1]","33.5731"
"destinations.marocco.mapMarkers[1].name","Tánger"
"destinations.marocco.mapMarkers[1].coords[0]","-5.8127"
"destinations.marocco.mapMarkers[1].coords[1]","35.7595"
"destinations.marocco.paragraphs[0]","Nuestras décadas de experiencia nos permiten garantizar el mejor momento en el mercado marroquí."
"destinations.marocco.paragraphs[1]","Sabemos que la rapidez, no sólo en el transporte, sino también y sobre todo en las intervenciones en todas las dinámicas locales, es una carta ganadora para dar a nuestros servicios de envío una garantía de calidad."
"destinations.marocco.paragraphs[2]","Conocemos la importancia de la documentación que permite a todos los comerciantes llevar a buen término sus transacciones, y aconsejamos y sugerimos, incluso antes de que comience el envío, cualquier particularidad que lo haga posible."
"destinations.marocco.servicesTitle","Servicios Marruecos"
"destinations.marocco.services[0]","Servicios regulares de grupaje por mar a Casablanca"
"destinations.marocco.services[1]","Posibilidad de cargar mercancías peligrosas completas y en grupaje, material rodante y cargas excepcionales"
"destinations.marocco.services[2]","Posibilidad de entregas a domicilio en todo Marruecos"
"destinations.marocco.services[3]","Transporte semanal a los puertos de Tánger y Casablanca"
"destinations.marocco.services[4]","Tiempos de tránsito muy rápidos"
"destinations.marocco.services[5]","Seguro a todo riesgo a petición"
"destinations.libia.title","Transporte Libia y Mauritania"
"destinations.libia.claim","La cobertura total del Magreb también nos trae aquí. Con el mismo cuidado y atención, con servicios regulares de contenedores completos a los principales puertos."
"destinations.libia.intro","Ofrecemos transporte desde España, Francia e Italia a los principales puertos libios y mauritanos."
"destinations.libia.image","/img/dest-libia-mauritania.webp"
"destinations.libia.mapCoords[0]","13"
"destinations.libia.mapCoords[1]","22"
"destinations.libia.mapMarkers[0].name","Trípoli"
"destinations.libia.mapMarkers[0].coords[0]","13.1913"
"destinations.libia.mapMarkers[0].coords[1]","32.8872"
"destinations.libia.mapMarkers[1].name","Medido"
"destinations.libia.mapMarkers[1].coords[0]","15.1"
"destinations.libia.mapMarkers[1].coords[1]","32.37"
"destinations.libia.mapMarkers[2].name","Bengasi"
"destinations.libia.mapMarkers[2].coords[0]","20.0667"
"destinations.libia.mapMarkers[2].coords[1]","32.1167"
"destinations.libia.mapMarkers[3].name","Nuakchot"
"destinations.libia.mapMarkers[3].coords[0]","-15.9785"
"destinations.libia.mapMarkers[3].coords[1]","18.0858"
"destinations.libia.mapMarkers[4].name","Nouadhibou"
"destinations.libia.mapMarkers[4].coords[0]","-17.0333"
"destinations.libia.mapMarkers[4].coords[1]","20.9333"
"destinations.libia.paragraphs[0]","Nuestras décadas de experiencia y la calidad de nuestros servicios, certificados según la norma ISO9001, nos permiten garantizar unos servicios de transporte completos, rápidos y eficaces."
"destinations.libia.servicesTitle","Servicios para Libia y Mauritania"
"destinations.libia.services[0]","Servicios regulares en contenedores completos"
"destinations.libia.services[1]","Transporte semanal a los puertos de Trípoli, Misurata y Bengasi, Nuakchot y Nuadibú."
"destinations.libia.services[2]","Posibilidad de cargar mercancías peligrosas y cargas excepcionales"
"destinations.libia.services[3]","Seguro a todo riesgo a petición"
"destinations.mondo.title","El transporte en el mundo"
"destinations.mondo.claim","Gracias a nuestros socios de WCA llegamos a todas partes con la calidad garantizada por la mayor y más extensa red de transitarios internacionales."
"destinations.mondo.intro","Servicios con certificación mundial garantizados por nuestra pertenencia a la red WCA."
"destinations.mondo.image","/img/mondo.webp"
"destinations.mondo.mapCoords[0]","8.793"
"destinations.mondo.mapCoords[1]","45.66"
"destinations.mondo.mapMarkers[0].name","Canal de Panamá"
"destinations.mondo.mapMarkers[0].coords[0]","-79.8"
"destinations.mondo.mapMarkers[0].coords[1]","9.1"
"destinations.mondo.mapMarkers[1].name","Singapur"
"destinations.mondo.mapMarkers[1].coords[0]","103.8"
"destinations.mondo.mapMarkers[1].coords[1]","1.35"
"destinations.mondo.mapMarkers[2].name","Rotterdam"
"destinations.mondo.mapMarkers[2].coords[0]","4.48"
"destinations.mondo.mapMarkers[2].coords[1]","51.92"
"destinations.mondo.mapMarkers[3].name","Nueva York"
"destinations.mondo.mapMarkers[3].coords[0]","-74"
"destinations.mondo.mapMarkers[3].coords[1]","40.7"
"destinations.mondo.servicesTitle","Servicios con certificación mundial"
"destinations.mondo.services[0]","Garantía de servicio de la red WCA"
"destinations.mondo.services[1]","OEA y cualificación de operador de calidad ISO 9001"
"destinations.mondo.services[2]","Salidas regulares en contenedores completos y grupaje"
"destinations.mondo.services[3]","Posibilidad de transportar Project Cargo, mercancías peligrosas y cargas excepcionales"
"destinations.mondo.services[4]","Utilización de vectores regulares de primera importancia y fiabilidad"
"destinations.mondo.services[5]","Seguro a todo riesgo a petición"
"destinations.algeria.title","Transporte Argelia"
"destinations.algeria.claim","Tenemos nuestra propia estructura en la zona desde hace muchos años. Conocemos su dinámica y sus peculiaridades. Vivimos a diario los cambios normativos y somos capaces de tomar medidas inmediatas para garantizar su cumplimiento."
"destinations.algeria.intro","Ofrecemos transporte desde España, Francia e Italia a los puertos de Argel, Orán y todos los principales puertos argelinos."
"destinations.algeria.image","/img/dest-algeria.webp"
"destinations.algeria.mapCoords[0]","2.6333"
"destinations.algeria.mapCoords[1]","28"
"destinations.algeria.mapMarkers[0].name","Argelia"
"destinations.algeria.mapMarkers[0].coords[0]","3.0588"
"destinations.algeria.mapMarkers[0].coords[1]","36.7538"
"destinations.algeria.mapMarkers[1].name","Orán"
"destinations.algeria.mapMarkers[1].coords[0]","-0.6417"
"destinations.algeria.mapMarkers[1].coords[1]","35.6987"
"destinations.algeria.paragraphs[0]","La experiencia adquirida a lo largo del tiempo y la presencia de personal propio en la zona garantizan la calidad de los servicios y la fiabilidad de la infraestructura puesta a disposición de los clientes."
"destinations.algeria.paragraphs[1]","Sabemos cómo la rapidez, no sólo en el transporte, sino también y sobre todo en el trabajo sobre todas las dinámicas locales, es una baza para dar a nuestros servicios de transporte marítimo una garantía de calidad."
"destinations.algeria.paragraphs[2]","Conocemos la importancia de la documentación que permite a todos los comerciantes llevar a buen término sus transacciones, y aconsejamos y sugerimos, incluso antes de que comience el envío, cualquier particularidad que lo haga posible."
"destinations.algeria.servicesTitle","Servicios Argelia"
"destinations.algeria.services[0]","Servicios regulares de grupaje por mar a Argel y Orán"
"destinations.algeria.services[1]","Servicios regulares de contenedores a todos los puertos argelinos"
"destinations.algeria.services[2]","Posibilidad de cargar mercancías peligrosas completas y en grupaje, material rodante y cargas excepcionales"
"destinations.algeria.services[3]","Posibilidad de entregas puerta a puerta en toda Argelia"
"destinations.algeria.services[4]","Tiempos de tránsito muy rápidos"
"destinations.algeria.services[5]","Seguro a todo riesgo a petición"
"destinations.tunisia.title","Túnez Transporte"
"destinations.tunisia.claim","Somos un punto de referencia en el país para el transporte hacia y desde la Europa mediterránea."
"destinations.tunisia.intro","Un crecimiento continuo gracias a nuestros clientes que, con su fidelidad y gratitud, nos han dado el impulso necesario para tratar de satisfacer sus expectativas y exigencias con un cuidado y una atención cada vez mayores."
"destinations.tunisia.image","/img/destinos/tunisia.webp"
"destinations.tunisia.mapCoords[0]","10.18"
"destinations.tunisia.mapCoords[1]","36.8"
"destinations.tunisia.paragraphs[0]","Ofrecemos transporte desde España, Francia e Italia a los puertos de Túnez, Susse y Sfax."
"destinations.tunisia.paragraphs[1]","Nuestras décadas de experiencia y nuestra completa cadena de suministro, con almacenes propios y personal local, nos permiten garantizar los mejores plazos en el mercado tunecino."
"destinations.tunisia.paragraphs[2]","La experiencia adquirida a lo largo del tiempo y la presencia de personal propio en la zona garantizan la calidad de los servicios y la fiabilidad de la infraestructura puesta a disposición de los clientes."
"destinations.tunisia.paragraphs[3]","Sabemos cómo la rapidez, no sólo en el transporte, sino también y sobre todo en el trabajo sobre todas las dinámicas locales, es una baza para dar a nuestros servicios de transporte marítimo una garantía de calidad."
"destinations.tunisia.paragraphs[4]","Conocemos la importancia de la documentación que permite a todos los comerciantes llevar a buen término sus transacciones, y aconsejamos y sugerimos, incluso antes de que comience el envío, cualquier particularidad que lo haga posible."
"destinations.tunisia.servicesTitle","Servicios Túnez"
"destinations.tunisia.services[0]","Servicios quincenales de grupaje a Túnez, Susse y Sfax"
"destinations.tunisia.services[1]","Servicios multisemanales en contenedores y remolques completos a los principales puertos tunecinos"
"destinations.tunisia.services[2]","Posibilidad de cargar mercancías peligrosas completas y en grupaje, material rodante y cargas excepcionales"
"destinations.tunisia.services[3]","Posibilidad de entregas puerta a puerta en todo Túnez"
"destinations.tunisia.services[4]","Tiempos de tránsito muy rápidos"
"destinations.tunisia.services[5]","Seguro a todo riesgo a petición"
"destinations.tunisia.cta","Solicita una cotización"
"nav.home","Inicio"
"nav.services","Servicios"
"nav.destinations","Destinos"
"nav.scopri","Descubre"
"nav.contacts","Contactos"
"nav.about","Quiénes somos"
"nav.news","Noticias"
"nav.mondo","Mundo"
"nav.tunisia","Túnez"
"nav.algeria","Argelia"
"nav.marocco","Marruecos"
"nav.libia","Libia y Mauritanie"
"nav.mauritania","Mauritanie"
"home.hero.title","BONGIORNO TRANSPORTES"
"home.hero.subtitle","Transporte internacional"
"home.hero.claim","Desde 1985 conectamos con dedicación y esmero los principales puertos europeos del Mediterráneo con el Magreb: Túnez, Argelia y Marruecos en primer lugar, pero también muchos otros destinos, sirviendo cada año a más de 60 países de todo el mundo."
"home.hero.ctas[0].href","#129837"
"home.hero.ctas[0].label","Solicita una cotización"
"home.hero.ctas[1].href","/contactos"
"home.hero.ctas[1].label","Contáctanos"
"home.intro[0]","Nuestros servicios hacia los puertos del norte de África están estructurados para garantizar unas condiciones de transporte particularmente favorables, pero sobre todo para guiar y ayudar a los operadores en todas las fases que preceden a los envíos y llevarlos a una conclusión exitosia."
"home.intro[1]","Es nuestra presencia diaria en el área lo que nos permite estar siempre actualizados sobre los procedimientos y regulaciones que cambian con frecuencia en estos mercados.  Para lograr este objetivo hemos invertido mucho en las estructuras y personas que nos permitan hacerlas funcionar de manera dinámica y eficaz."
"home.intro[2]","Estamos presentes en Túnez en los tres puertos principales. Túnez, Sousse y Sfax. En Argelia, nuestra oficina de Argel gestiona y garantiza las operaciones en todos los puertos argelinos. En Marruecos aprovechamos una consolidada relación de agencia que, con el tiempo, nos ha permitido crecer y dar solidez y fiabilidad a nuestros servicios."
"home.intro[3]","T.I.Bongiorno España,S.L.U. y Bongiorno France completan nuestra estructura, permitiéndonos dar cobertura a todos los principales canales de tráfico que, desde Europa, desembocan en el Mediterráneo con destino a los destinos del norte de África."
"home.intro[4]","Nuestras consignas: Puntualidad, Disponibilidad y Reactividad para afrontar eficazmente todos los posibles imprevistos."
"home.intro[5]","Estamos preparados para ser su socio de confianza para cualquier transporte al norte de África y más allá."
"home.destinations.title","Destinos de Transporte Norte de África-Magreb"
"home.destinations.items[0].title","Transporte Túnez"
"home.destinations.items[0].text","En nuestro ADN desde los orígenes. Nuestra línea histórica desde 1985."
"home.destinations.items[0].image","/img/tunisia.webp"
"home.destinations.items[0].href","/tunisia"
"home.destinations.items[1].title","Transporte Argelia"
"home.destinations.items[1].text","Gran país en el que creímos e invertimos construyendo servicios a la medida."
"home.destinations.items[1].image","/img/algeria.webp"
"home.destinations.items[1].href","/algeria"
"home.destinations.items[2].title","Transporte Marruecos"
"home.destinations.items[2].text","Acompañamos tu mercancía hasta la puerta de tu cliente. Del desierto a las cumbres del Atlas."
"home.destinations.items[2].image","/img/marocco.webp"
"home.destinations.items[2].href","/marruecos"
"home.destinations.items[3].title","Libia y Mauritania"
"home.destinations.items[3].text","La cobertura total del Magreb también nos lleva hasta aquí. Con el mismo cuidado y atención."
"home.destinations.items[3].image","/img/libia.webp"
"home.destinations.items[3].href","/libia"
"home.destinations.items[4].title","Transporte Mundo"
"home.destinations.items[4].text","Gracias a nuestros partners certificados WCA llegamos a todas partes con las máximas garantías."
"home.destinations.items[4].image","/img/mondo.webp"
"home.destinations.items[4].href","/mundo"
"home.services.title","Servicios"
"home.services.intro[0]","Tu confianza es el motor de nuestros transportes. Esperamos poder demostrarte que superaremos tus expectativas. Elije nuestras soluciones de transporte y descubre el verdadero significado de un servicio de envío de primera clase."
"home.services.items[0].title","Transporte en Grupaje"
"home.services.items[0].description","Confiar en quienes saben gestionar los pequeños y medianos envíos con el cuidado y rapidez adecuados es de vital importancia para no interrumpir nunca la actividad productiva o comercial."
"home.services.items[1].title","Transporte excepcional y Project Cargo"
"home.services.items[1].description","Un tipo de transporte que requiere no sólo un profundo conocimiento, sino también un estudio detenido de las rutas, normativas y características de las mercancías y de los territorios en los que se realizan los envíos."
"home.services.items[2].title","Servicios Full Containers"
"home.services.items[2].description","Frecuencias y tiempos de tránsito extremadamente rápidos, disponibilidad de espacio a bordo de los barcos y una gran variedad de tipos de contenedores para satisfacer las más variadas necesidades."
"home.services.items[3].title","Seguro ''Todo Riesgo''"
"home.services.items[3].description","Para aquellos que nunca quieren dejar nada al azar. Una póliza de seguro que protege contra cualquier riesgo durante el transporte. La clave para una expedición pacífica. Nuestra sólida póliza “todo riesgo” está disponible previa solicitud."
"home.content.title","No somos sólo transitarios"
"home.content.intro1","Entendemos que el mundo de la logística puede ser complejo, pero estamos aquí para ponértelo más fácil."
"home.content.intro2","¿Qué nos diferencia de los demás? Nuestra misión es conseguir que su mercancía llegue a su destino en perfectas condiciones y en el menor tiempo posible."
"home.content.intro3","Estamos orgullosos de haber creado, a lo largo del tiempo, servicios especializados que nos permiten gestionar los envíos al Magreb y otras zonas geográficas con una estructura única y sólida."
"home.content.intro4","Desde que la mercancía sale por la puerta del exportador hasta que se pone a disposición del importador, controlamos cada paso gracias a la formación de nuestro personal, capaz de comprender plenamente la dinámica y operativa que conlleva el transporte internacional. Mantenernos al tanto de las innovaciones y cambios que hacen cada vez más dinámico nuestro negocio."
"home.content.intro5","Nuestro objetivo es ganarnos la confianza de nuestros clientes demostrando que trabajamos incansablemente por un crecimiento continuo."
"home.content.blocks[0].title","Somos los verdaderos protagonistas de tu transporte"
"home.content.blocks[0].text1","Elegir Bongiorno significa elegir seguridad y eficiencia."
"home.content.blocks[0].text2","Confía en nosotros para todos tus envíos internacionales y descubre cómo hacemos del transporte de mercancías una experiencia tranquila."
"home.content.blocks[0].text3","La calificación de operador OEA y la certificación ISO 9001:2015 de nuestra casa madre en Italia, además de la participación en la red WCA son garantía que nuestra calidad de servicio es verdaderamente lo que tenemos el honor de ofrecer con orgullo."
"home.content.blocks[0].text4","Para brindar tranquilidad a nuestros clientes, también ofrecemos una póliza opcional “Todo Riesgo”, que cubre el monto total de su factura de venta. Pase lo que pase durante el transporte, siempre estará seguro."
"home.content.blocks[0].alt","Camiones y contenedores en la carretera"
"home.quality.title","Nuestra calidad, certificada y reconocida"
"home.quality.text1","La Bongiorno Italia (Bongiorno SRL) en 2014 obtuvo el estatus de OEA para operaciones aduaneras, lo que tiene una enorme importancia porque permite mayor rapidez en los envíos, más comunicación entre las partes de la cadena de suministro y menos problemas de seguridad. Es el resultado de un minucioso procedimiento de verificación por parte de la Agencia de Aduanas y Monopolios italiana y es de interés para quienes confían en nuestros servicios. A esto se añade la certificación ISO 9001, que Bongiorno SRL tiene desde hace muchos años y que es una garantía más de calidad para nuestros clientes."
"home.quality.text2","Consulte aquí nuestra política de calidad."
"home.sedi.title","Las Oficinas"
"home.sedi.intro1","Gracias a la presencia de personal propio y oficinas en cinco países mediterráneos podemos gestionar los envíos hacia y desde el Magreb con la competencia de quien vive la dinámica diaria en constante cambio de esta zona y con la rapidez de quien conoce los problemas."
"home.sedi.intro2","Garantizamos intervenciones inmediatas y directas para encontrar la mejor solución que lleve siempre a buen puerto cada envío."
"home.sedi.intro3","Además, la elección de socios certificados por la WCA nos permite contar con un soporte altamente profesional y generalizado en cualquier parte del mundo. Para no dejar nada al azar."
"home.sedi.contactLabel","Contáctanos"
"home.sedi.globalTitle","Bongiorno en el mundo"
"home.sedi.globalText","El carácter internacional de nuestro negocio y nuestro continuo crecimiento nos han llevado a ampliar nuestros servicios más allá de las fronteras de los países en los que ya estamos establecidos y desde hace tiempo gracias al valioso apoyo y ayuda de la red de agencias que nos proporciona la Alianza Mundial del Comercio, de la que somos miembros desde 2009."
"home.sedi.globalContact","Contáctanos"
"home.sedi.locations[0].name","Bongiorno Italia"
"home.sedi.locations[0].flag","/img/banderas/es.svg"
"home.sedi.locations[0].description[0]","Fundada en 1985, Bongiorno srl es nuestra empresa matriz."
"home.sedi.locations[0].description[1]","Con sede en Gallarate, a sólo 5 minutos del aeropuerto de Milán Malpensa, es el punto de confluencia de las principales líneas de tráfico procedentes de las regiones industriales del centro-norte de Italia."
"home.sedi.locations[0].description[2]","La proximidad a los principales puertos comerciales del norte del Mediterráneo nos sitúa en una posición privilegiada para garantizar extrema rapidez y eficacia en la ejecución de los mandatos de transporte."
"home.sedi.locations[0].contactUrl","#"
"home.sedi.locations[1].name","Bongiorno España"
"home.sedi.locations[1].flag","/img/banderas/es.svg"
"home.sedi.locations[1].description[0]","Con sede en Barcelona y plataformas logísticas estratégicas en España y Portugal, nuestra sede en España es capaz de garantizar un servicio preciso y extendido desde y hacia toda la Península Ibérica y representa hoy para el grupo un punto de fundamental importancia en el desarrollo del tráfico hacia el norte de África."
"home.sedi.locations[1].description[1]","Hoy en día, Bongiorno España representa, para el grupo, una referencia de importancia fundamental en el desarrollo del comercio hacia el norte de África."
"home.sedi.locations[1].contactUrl","#"
"home.sedi.locations[2].name","Bongiorno Francia"
"home.sedi.locations[2].flag","/img/banderas/fr.svg"
"home.sedi.locations[2].description[0]","Nuestra sede se encuentra en Marsella, en la principal vía de acceso a la ciudad y a tan sólo 1 km del puerto, punto estratégico para la actividad marítima hacia los puertos del Magreb y de todo el Mediterráneo."
"home.sedi.locations[2].description[1]","También disponemos de plataformas logísticas en las zonas más sensibles (Región de París, Región de Lyon, Norte de Francia). Nuestros servicios de transporte por carretera también nos permiten dar servicio a gran parte de Alemania y a todo el territorio belga y holandés."
"home.sedi.locations[2].contactUrl","#"
"home.sedi.locations[3].name","Bongiorno Túnez"
"home.sedi.locations[3].flag","/img/banderas/tn.svg"
"home.sedi.locations[3].description[0]","Representa nuestra primera base comercial y operativa en el norte de África. La estructura operativa de la que dispone Bongiorno Túnez se considera actualmente una de las realidades más importantes del sector del transporte en Túnez."
"home.sedi.locations[3].description[1]","Utilizamos tres terminales de contenedores con depósitos aduaneros en los principales puertos tunecinos (Rades, Sousse y Sfax) que nos permiten satisfacer las necesidades de todos los operadores económicos tunecinos para cualquier tipo de transporte."
"home.sedi.locations[3].contactUrl","#"
"home.sedi.locations[4].name","Bongiorno Argelia"
"home.sedi.locations[4].flag","/img/banderas/dz.svg"
"home.sedi.locations[4].description[0]","Argelia es un país en pleno desarrollo económico y una realidad que cada vez tiene más peso en la escena internacional."
"home.sedi.locations[4].description[1]","Por este motivo creamos Bongiorno Algérie a principio de los años 2000, creyendo que nuestra experiencia y profesionalidad podrían ser una herramienta útil y apreciada por los operadores argelinos y europeos para el desarrollo de sus actividades."
"home.sedi.locations[4].contactUrl","#"
"home.sedi.locations[5].name","Bongiorno en el Mundo"
"home.sedi.locations[5].flag","/img/banderas/dz.svg"
"home.sedi.locations[5].description[0]","El carácter internacional de nuestro negocio y el continuo crecimiento nos han llevado a expandir nuestros servicios más allá de las fronteras de los países en los que ya estamos establecidos y consolidados desde hace algún tiempo gracias al valioso apoyo y ayuda de la red de agencias garantizada por el World Trade Alliance (WCA) de la que somos miembros desde 2009."
"home.sedi.locations[5].contactUrl","#"
"quote.title","Pide una cotización"
"quote.id","129837"
"quote.subtitle","Contacte con nosotros a través del formulario y será atendido por uno de nuestros comerciales lo antes posible."
"quote.select","Seleccione una opción"
